Votation populaire du 4 mars 2018;;;;;;;;;;;;
Initiative populaire ÆOui Ö la suppression des redevances radio et tÇlÇvision (suppression des redevances Billag)Ø;;;;;;;;;;;;
No votation:  6170;;;;;;;;;;;;
 ;;;;;;;;;;;;
No canton;Canton;No commune;Commune;Electeurs inscrits;Bulletins rentrÇs;Participation;Bulletins blancs;Bulletins nuls;Bulletins valables;Oui;Non;Oui en %
 ;;;;;;;;;;;;
 ;Suisse; ;;5 391 090;2 956 354;54.8;14 515;9 700;2 932 139;833 837;2 098 302;28.4
 ;;;;;;;;;;;;
1;ZÅrich;95;Regensberg;318;211;66.4;0;0;211;50;161;23.7
1;ZÅrich;96;Regensdorf;9 700;4 798;49.5;19;0;4 779;1 870;2 909;39.1
1;ZÅrich;97;RÅmlang;4 509;2 154;47.8;6;0;2 148;820;1 328;38.2
1;ZÅrich;98;Schleinikon;550;333;60.5;1;0;332;89;243;26.8
1;ZÅrich;99;Schîfflisdorf;975;594;60.9;1;0;593;198;395;33.4
1;ZÅrich;100;Stadel;1 573;798;50.7;2;0;796;304;492;38.2
1;ZÅrich;101;Steinmaur;2 160;1 295;60.0;8;0;1 287;444;843;34.5
1;ZÅrich;102;Weiach;1 064;479;45.0;1;1;477;217;260;45.5
1;ZÅrich;111;BÑretswil;3 589;2 099;58.5;7;0;2 092;728;1 364;34.8
1;ZÅrich;112;Bubikon;5 082;3 068;60.4;10;0;3 058;888;2 170;29.0
1;ZÅrich;113;DÅrnten;4 960;2 696;54.4;4;0;2 692;922;1 770;34.2
1;ZÅrich;114;Fischenthal;1 643;881;53.6;0;0;881;393;488;44.6
1;ZÅrich;115;Gossau (ZH);7 000;4 021;57.4;18;1;4 002;1 324;2 678;33.1
1;ZÅrich;116;GrÅningen;2 338;1 415;60.5;2;0;1 413;451;962;31.9
1;ZÅrich;117;Hinwil;7 649;4 350;56.9;23;1;4 326;1 474;2 852;34.1
1;ZÅrich;118;RÅti (ZH);7 529;3 972;52.8;9;0;3 963;1 316;2 647;33.2
1;ZÅrich;119;SeegrÑben;949;610;64.3;1;0;609;161;448;26.4
1;ZÅrich;120;Wald (ZH);5 963;3 060;51.3;8;1;3 051;1 066;1 985;34.9
1;ZÅrich;121;Wetzikon (ZH);15 016;7 699;51.3;34;2;7 663;2 526;5 137;33.0
1;ZÅrich;131;Adliswil;10 010;5 570;55.6;18;0;5 552;1 648;3 904;29.7
1;ZÅrich;134;HÅtten;654;345;52.8;0;0;345;112;233;32.5
1;ZÅrich;135;Kilchberg (ZH);4 768;2 989;62.7;19;0;2 970;772;2 198;26.0
1;ZÅrich;136;Langnau am Albis;4 534;2 667;58.8;6;0;2 661;665;1 996;25.0
1;ZÅrich;137;Oberrieden;3 368;2 232;66.3;5;0;2 227;526;1 701;23.6
1;ZÅrich;138;Richterswil;8 666;5 183;59.8;23;1;5 159;1 485;3 674;28.8
1;ZÅrich;139;RÅschlikon;3 284;2 036;62.0;11;1;2 024;558;1 466;27.6
1;ZÅrich;140;Schînenberg (ZH);1 366;798;58.4;4;0;794;253;541;31.9
1;ZÅrich;141;Thalwil;10 558;6 593;62.4;38;3;6 552;1 666;4 886;25.4
1;ZÅrich;142;WÑdenswil;13 800;7 865;57.0;51;0;7 814;2 154;5 660;27.6
1;ZÅrich;151;Erlenbach (ZH);3 498;2 286;65.4;5;0;2 281;646;1 635;28.3
1;ZÅrich;152;Herrliberg;4 049;2 681;66.2;10;6;2 665;826;1 839;31.0
1;ZÅrich;153;Hombrechtikon;5 645;3 245;57.5;16;0;3 229;1 029;2 200;31.9
1;ZÅrich;154;KÅsnacht (ZH);8 769;5 528;63.0;35;3;5 490;1 606;3 884;29.3
1;ZÅrich;155;MÑnnedorf;7 150;4 585;64.1;24;4;4 557;1 163;3 394;25.5
1;ZÅrich;156;Meilen;8 874;5 699;64.2;15;6;5 678;1 624;4 054;28.6
1;ZÅrich;157;Oetwil am See;2 708;1 345;49.7;4;1;1 340;498;842;37.2
1;ZÅrich;158;StÑfa;9 718;6 033;62.1;37;3;5 993;1 578;4 415;26.3
